,Unnamed: 0,Maximum Phosphorus,Utility1,Utility2,Reliability,n_reliability,C1,R1,W1,C2,R2,W2
0,0,2.5976735836560283,1.734760888210494,1.734760888210494,0.02,0.034695217764209876,"[1.989255149817342, 0.9657872405986647, -0.7183586964217041]","[1.9623687063441988, 1.0249723822614811, 1.1563408160600976]","[0.8524405652209053, 0.29058399816958114, 0.6382195188530699]","[-0.7921566975068615, -0.4780342166554088, -0.45432681609285686]","[1.2745277884432245, 1.1204848633789761, 0.4981724015830373]","[0.3218667112570548, 0.23296702838062122, 0.6333353863727081]"
1,1,2.339972345393501,1.4738769240299303,0.4194779281811686,0.071,0.12316802306294505,"[-0.3455165690346118, 0.005938913470735611, 0.124989102873066]","[0.13112480783167133, 0.0, 1.0074740444486978]","[0.0, 0.0, 0.34656212175598977]","[1.5288841036932928, 1.4090648145528444, -2.0]","[2.0, 0.0, 1.9219107336990369]","[0.34634252220523576, 1.0, 0.0]"
2,2,2.4492115968948083,1.558263960764259,0.7643388490266997,0.06,0.10408565329262963,"[-0.3455165690346118, 0.005938913470735611, 0.124989102873066]","[1.5960531702065073, 0.5905640625344684, 0.6598373463345892]","[0.0, 0.0, 0.34656212175598977]","[1.4060259233600632, 1.4090648145528444, -0.18726262390350223]","[2.0, 0.0, 1.9219107336990369]","[0.34634252220523576, 0.6077779936296891, 0.0]"
3,3,2.5976708216348574,1.734760888210494,1.720061181986537,0.03,0.052042826646314815,"[0.23081288358729155, 0.4253849211220846, -1.1464696161721164]","[0.0, 0.0, 1.0825880467728375]","[0.5674171170201231, 0.0, 0.7582951383466825]","[-0.7562544916134333, 0.2355010126190357, -0.3553568282938297]","[1.9202940628619367, 0.08404453491585628, 2.0]","[1.0, 0.6619904085164605, 0.819815233101298]"
4,4,2.3468036690056784,0.4550500946581468,0.4140809848887866,0.7233,1.2547525504426504,"[-0.1305250051954609, -2.0, 1.7091106670223548]","[1.2664345683872038, 2.0, 2.0]","[1.0, 0.0, 0.0]","[0.7032784954468807, 0.29931457837997133, -0.8458684822451276]","[1.077301358022599, 0.5862150426312591, 0.6824553433932417]","[0.0, 1.0, 0.0]"
5,5,2.597653876089577,1.660102282440861,1.7218538226857243,0.0399,0.0692169594395987,"[0.3272194896347137, 0.4253849211220846, -0.2861210258734259]","[0.0, 0.0, 1.0825880467728375]","[0.5674171170201231, 0.0, 0.7582951383466825]","[-0.7562544916134333, 0.23602174452817265, -0.3553568282938297]","[1.9202940628619367, 0.08404453491585628, 2.0]","[1.0, 0.6619904085164605, 0.819815233101298]"
6,6,2.4520744807323793,0.8792211045988458,1.734760888210494,0.02,0.034695217764209876,"[1.1402384410535484, -0.4793200979382277, 2.0]","[1.2755672425796396, 0.9898632776883495, 1.9773772153704647]","[0.030294403029811123, 0.0, 0.7747678273688221]","[1.7265640625370908, 0.8477497789249275, -1.5592005444710737]","[1.7036179087872696, 0.703037763998286, 1.9213822732919923]","[0.3967234368895378, 1.0, 0.5781618288720543]"
7,7,2.388958797271816,0.653282994387504,1.734760888210494,0.02,0.034695217764209876,"[-0.09999883901156725, 1.9780916874241643, -0.8245139098943826]","[1.7116501386084972, 1.5627415011425623, 0.9891484386626097]","[0.003562407641596904, 0.7610720538738607, 0.0]","[0.30559287235057087, -0.17355244232133105, 1.7969052186254135]","[0.4529929916656592, 1.7569695983764955, 1.4553861323632844]","[0.5160156832367746, 0.8567014149394917, 0.5700416857546792]"
8,8,0.1841544097656855,0.2630330810532534,0.2155331487368733,1.0,1.734760888210494,"[0.32055282028463755, -1.4399470287525213, 0.65955190354385]","[0.6488771690250952, 1.6468163484822134, 1.486150235516443]","[1.0, 0.0, 0.17648180463920285]","[1.1293264205253668, 1.2048157258151715, 0.549494402517793]","[2.0, 0.0, 1.4326096693372046]","[0.0, 0.26012578089681626, 0.610064570111202]"
9,9,2.3167037234555043,0.1734760888210492,0.7288221793748306,0.4673,0.8106537630607638,"[-1.9319773623285665, -0.7288843359525852, -1.1321359439900285]","[0.0, 0.0, 0.0]","[0.2314953305516253, 0.5579913686583784, 0.722715433124526]","[-0.3255233263753903, 1.8376352076863958, -0.37059321053740074]","[1.7522826516042929, 0.0, 2.0]","[1.0, 0.4618322595991594, 0.44459036408131924]"
